service_id,client_id,advisor_id,service_date,service_type,hours_worked,base_fee,service_status
S0367,C029,A010,2025-02-01,Nominas,5.5,344.81,Pendiente
S0368,C031,A010,2024-11-21,Alta autonomo,5.0,362.91,Completado
S0369,C046,A010,2025-07-31,Declaracion trimestral,5.2,348.34,Pendiente
S0370,C070,A005,2024-06-28,Contabilidad mensual,3.3,332.14,Completado
S0371,C003,A009,2025-05-04,Declaracion trimestral,5.1,260.02,Pendiente
S0372,C044,A012,2024-06-30,Asesoria mercantil,6.1,296.51,Pendiente
S0373,C019,A010,2025-12-22,Asesoria mercantil,8.2,379.87,Completado
S0374,C010,A006,2025-12-22,Asesoria mercantil,7.1,538.85,Completado
S0375,C042,A003,2024-06-10,Impuesto sociedades,9.7,453.80,Completado
S0376,C041,A003,2025-12-25,Asesoria mercantil,3.3,309.34,Completado
S0377,C029,A011,2025-08-26,Alta autonomo,6.9,545.82,Completado
S0378,C017,A003,2024-01-02,Asesoria mercantil,5.4,407.73,Pendiente
S0379,C024,A010,2024-11-21,Asesoria mercantil,9.8,477.32,Cancelado
S0380,C064,A003,2024-12-05,Alta autonomo,3.2,136.74,Completado
S0381,C012,A012,2025-11-17,Constitucion sociedad,3.2,262.03,Pendiente
S0382,C027,A004,2025-12-10,Declaracion trimestral,3.7,267.34,Completado
S0383,C007,A007,2025-03-24,Impuesto sociedades,0.5,19.39,Cancelado
S0384,C049,A006,2025-07-13,Contabilidad mensual,3.8,370.65,Pendiente
S0385,C021,A008,2024-03-16,Alta autonomo,3.3,246.60,Completado
S0386,C014,A002,2024-12-16,Declaracion trimestral,5.3,269.22,Completado
S0387,C044,A010,2025-09-20,Baja trabajador,5.8,351.59,Completado
S0388,C078,A007,2024-06-09,Declaracion trimestral,9.1,495.88,Completado
S0389,C071,A012,2025-07-07,Nominas,7.1,610.64,Completado
S0390,C051,A010,2025-07-16,Alta autonomo,3.7,160.26,Completado
S0391,C012,A005,2025-11-08,Constitucion sociedad,3.0,262.89,Completado
S0392,C022,A011,2024-10-25,Asesoria mercantil,6.1,274.21,Completado
S0393,C061,A008,2025-11-07,Nominas,2.1,201.99,Completado
S0394,C049,A006,2024-07-10,Contabilidad mensual,9.0,517.07,Completado
S0395,C035,A010,2024-03-04,Declaracion trimestral,7.6,429.71,Completado
S0396,C070,A007,2025-08-26,Nominas,4.0,233.54,Completado
S0397,C069,A011,2025-05-01,Constitucion sociedad,1.2,178.26,Completado
S0398,C005,A009,2025-08-07,Asesoria mercantil,8.0,483.68,Completado
S0399,C016,A008,2024-06-26,Asesoria mercantil,4.7,315.95,Completado
S0400,C017,A001,2025-03-09,Declaracion trimestral,7.7,366.60,Completado
